LECROYSDA100G 46001 Waveform
Segments 1 SegmentSize 5122
Segment TrigTime TimeSinceSegment1
#1 10-Oct-2017 16:45:06 0                 
Time Ampl
9.99708984e-007 -3.77395e-013
9.99712891e-007 -3.79958e-013
9.99716797e-007 -3.8069e-013
9.99720703e-007 -3.83254e-013
9.99724609e-007 -3.87282e-013
9.99728516e-007 -3.88991e-013
9.99732422e-007 -3.90822e-013
9.99736328e-007 -3.93264e-013
9.99740234e-007 -3.95461e-013
9.99744141e-007 -3.97902e-013
9.99748047e-007 -3.9778e-013
9.99751953e-007 -3.98024e-013
9.99755859e-007 -3.99123e-013
9.99759766e-007 -4.01198e-013
9.99763672e-007 -4.04128e-013
9.99767578e-007 -4.04738e-013
9.99771484e-007 -4.05959e-013
9.99775391e-007 -4.06203e-013
9.99779297e-007 -4.09499e-013
9.99783203e-007 -4.12551e-013
9.99787109e-007 -4.14382e-013
9.99791016e-007 -4.19753e-013
9.99794922e-007 -4.24392e-013
9.99798828e-007 -4.25124e-013
9.99802734e-007 -4.26345e-013
9.99806641e-007 -4.30007e-013
9.99810547e-007 -4.32937e-013
9.99814453e-007 -4.36354e-013
9.99818359e-007 -4.3904e-013
9.99822266e-007 -4.42336e-013
9.99826172e-007 -4.45144e-013
9.99830078e-007 -4.45998e-013
9.99833984e-007 -4.48073e-013
9.99837891e-007 -4.49904e-013
9.99841797e-007 -4.51125e-013
9.99845703e-007 -4.53322e-013
9.99849609e-007 -4.58937e-013
9.99853516e-007 -4.60036e-013
9.99857422e-007 -4.63576e-013
9.99861328e-007 -4.64187e-013
9.99865234e-007 -4.66872e-013
9.99869141e-007 -4.71145e-013
9.99873047e-007 -4.73586e-013
9.99876953e-007 -4.77736e-013
9.99880859e-007 -4.81887e-013
9.99884766e-007 -4.85427e-013
9.99888672e-007 -4.87624e-013
9.99892578e-007 -4.91286e-013
9.99896484e-007 -4.92263e-013
9.99900391e-007 -4.94216e-013
9.99904297e-007 -4.98e-013
9.99908203e-007 -5.0093e-013
9.99912109e-007 -5.03859e-013
9.99916016e-007 -5.06423e-013
9.99919922e-007 -5.0801e-013
9.99923828e-007 -5.10573e-013
